song,genre
0,I've Been Loving You Too Long(Otis Redding).mp3,2
1,How Much Can A Man Take (Big John Hamilton).mp3,2
2,Only you (The Platters).mp3,2
3,Jack knife (Jack Jones).mp3,2
4,Cry To Me (Solomon Burke).mp3,2
5,The Boardwalk (The Drifters).mp3,2
6,You Keep Running Away (The Four Tops ).mp3,2
7,Rock & roll music (Archies).mp3,2
8,Cry baby cry -( Van & Titus).mp3,2
9,Man's Man's man's wolrd (James Brown).mp3,2
10,Gimme some lovin'(Steve Winwood).mp3,2
11,Leaving Here (Eddie Holland).mp3,2
12,Let's Do the twist (Chubby Checker).mp3,2
13,Think(Aretha Franklin).mp3,2
14,(Love Is Like A) Heat Wave (Martha Reeves & The Vandellas).mp3,2
15,When a man loves a woman (Percy Sledge).mp3,2
16,The Way You Do The Things You Do (The Temptations).mp3,2
17,I Can't Take It (Carla Thomas).mp3,2
18,Twisting the Night Away(Sam Cooke).mp3,2
19,On broadway(The Drifters).mp3,2
20,My Baby Just Cares For Me (Nina Simone).mp3,2
21,Tell Laura I love her ( Ritchie Valance).mp3,2
22,How Sweet It Is (To Be Loved By You)(Marvin Gaye).mp3,2
23,Baby i can't stand it (Bobby Womack).mp3,2
24,Hit The Road Jack (Ray Charles).mp3,2
25,Rescue me(Diana Ross & the Supremes).mp3,2
26,Walk Away Renee (The Four Tops ).mp3,2
27,I need love(Little Richard).mp3,2
28,Keep on running(Steve Winwood).mp3,2
29,Unchain My Heart (Ray Charles).mp3,2
30,U keep me hagin'on (Diana Ross & The Supremes).mp3,2
31,I don't know why I love you but I do (Giuliano Plama& Bluebeaters).mp3,2
32,I'll Let Nothing Separate us (Otis Redding).mp3,2
33,Mad About The Boy ( Dinah Washington).mp3,2
34,Smoke gets in your eyes (The Platters).mp3,2
35,Do you Love Me (The Contours).mp3,2
36,What will tomorrow bring (Wendy Rene).mp3,2
37,Where did our love go(Diana Ross & The Supremes).mp3,2
38,Reach Out I´ll Be There (The Four Tops).mp3,2
39,This Old Heart Of Mine (Is Weak 4 You)(The Isley Brothers).mp3,2
40,Stand By Me ( Otis Redding).mp3,2
41,Aint No Sunshine When She'S Gone (Al Green).mp3,2
42,The Letter (The Box Tops).mp3,2
43,Little darling I need you(Marvin Gaye).mp3,2
44,Fa-Fa-Fa-Fa-Fa (Sad Song)(Otis Redding).mp3,2
45,Signed Sealed delivered I'm yours(Stevie Wonders).mp3,2
46,Sitting On The Dock Of The Bay(Otis Redding).mp3,2
47,With a little help from my friends (Joe Cocker).mp3,2
48,Slip away (Clarence Carter).mp3,2
49,Sweets For My Sweet (The Drifters).mp3,2
50,Rock Around the clock (Bill Halley& His Comets).mp3,2
51,You Really Got A Hold On Me (Smokey Robinson & The Miracle).mp3,2
52,Crazy (Patsy Cline).mp3,2
53,(It's the way) Nature Planned It (Four Tops).mp3,2
54,Uptihigt(every things's allright . Stevie Wonders)).mp3,2
55,I'm hanging up my heart for you (Solomon Burke).MP3,2
56,Tried so hard to please her (The Knight brothers).mp3,2
57,Money (That's What I want) (Barrett Strong).mp3,2
58,"I Can´t Help Myself (Sugar Pie, Honey Bunch (The Four Tops).mp3",2
59,I Say A Little Prayer For You(Aretha Franklin).mp3,2
60,Everybody Loves To Cha Cha Cha (Sam Cooke).mp3,2
61,Ain't no mountain high(Marvin Gaye).mp3,2
62,Don't Give Up On Me (Solomon Burke).mp3,2
63,Ain´t Nothing Like The Real Thing (Marvin Gaye & Tammi Terrell).mp3,2
64,Chain Gang (Sam Cooke).mp3,2
65,Happy Times (The Box Tops).mp3,2
66,Me and Mrs. Jones(Marvin Gaye).mp3,2
67,There Ain't No Sunshine When She's Gone(Otis Redding).mp3,2
68,Walking the dog( Rufus Thomas).mp3,2
69,What Becomes Of The Brokenhearted(Jimmy Ruffin).mp3,2
70,Dancing in the street (Martha & the Vandellas).mp3,2
71,Stop in the name of love(Diana Ross & The Supremes).mp3,2
72,Fever (Peggy Lee).mp3,2
73,Roll over Bethobeen (Chuck Berry).mp3,2
74,When I Fall in Love (Nat King Cole).mp3,2
75,Johnny B Goode (Chuck Berry).mp3,2
76,Chain Of Fools(Aretha Franklin).mp3,2
77,Let's Go Get Stoned (Ray Charles).mp3,2
78,Nowhere To Run (Martha Reeves & The Vandellas).mp3,2
79,Soul man(Sam & Dave).mp3,2
80,This Magic Moment (The Platters).mp3,2
81,My guy( Mary Wells).mp3,2
82,Unchained Melody (Righteous Brothers).mp3,2
83,Baby I Need Your Loving (The Four Tops).mp3,2
84,He Was Really Saying Somethin'(The Velvelettes).mp3,2
85,Please please please(James Brown).mp3,2
86,Papas Got A Brand New Bag (James Brown).mp3,2
87,Hallelujah I Love Her So (Ray Charles).mp3,2
88,I Just Want To Make Love To You (Etta James).MP3,2
89,Jimmy Mack (Martha Reeves & The Vandellas).mp3,2
90,My Girl (The Temptations).mp3,2
91,Land of thousand lands(Little Richard).mp3,2
92,Hold on I'm coming (Sam and Dave).mp3,2
93,Don't decive me(Little Richard).mp3,2
94,It´s A Shame (The Spinners).mp3,2
95,The tracks of my tears (Smonkey Robinson).mp3,2
96,She`s got you (Patsy Cline).mp3,2
97,It´s The Same Old Song (The Four Tops).mp3,2
98,Baby love(Diana Ross& The Supremes).mp3,2
99,It´s all right(Curtis Mayfield& The Impressions).mp3,2
100,Lets Get It On(Marvin Gaye).mp3,2
