song,genre
0,16. Bizet - Habanera.mp3,9
1,03. Beethoven - Fur Elise.mp3,9
2,13. Lullaby - Iogannes Brahms.mp3,9
3,"02. Mozart - Rondo Alla Turca, from Piano Sonata in A.mp3",9
4,13. Paganini - Caprices № 24.mp3,9
5,14. Franz Schubert - Symphony № 8 I. Allegro moderato.mp3,9
6,15. Wagner - Lohengin - Prelude to Act 3.mp3,9
7,"10. Beethoven - Klaviersonate N17, For Piano in D-minor,  Allegretto.mp3",9
8,01. Grieg - Morning Mood.mp3,9
9,17. Paganini - Concerto 2 op.7 - 3. Rondo.mp3,9
10,"17. Iogannes Brahms - Violin Concerto in D major Op.77, Part 3.mp3",9
11,01. Mahler - Symphony No. 5 - Adagietto.mp3,9
12,10. Tchaikovsky - Dance of the little swans.mp3,9
13,16. Rachmaninov - Prelude in C sharp minor.mp3,9
14,"10. Tchaikovsky - Swan Lake, Finale (Act IV).mp3",9
15,08. Glinka - Ivan Susanin - Cracovienne.mp3,9
16,06. Glinka - Overture To The Opera ruslan And Ludmila.mp3,9
17,"11. Tchaikovsky - The Sleeping Beauty, Valse (Act I).mp3",9
18,"12. Mozart - Symphony No.40, III. Menuetto Allegretto - Trio.mp3",9
19,01. Mozart - The Magic Flute - Overture.mp3,9
20,08. Mozart - Requiem - Lacrimosa.mp3,9
21,09. Grieg - At The Hall Of Mountain - king.mp3,9
22,"07. Tchaikovsky - The Nutcracker, Marche (Act I).mp3",9
23,07. Wagner - Ride of the Valkyries.mp3,9
24,"11. Chopin - Polonaise in A, 'Military'.mp3",9
25,18. Rodrigo - Concierto de Aranjuez (Adagio - excerpt).mp3,9
26,03. Boccherini - Menuetto.mp3,9
27,08. Rossini - Overture - The Barber of Seville.mp3,9
28,12. Glinka - Waltz Fantasia.mp3,9
29,13. Mussorgsky - The Gnome.mp3,9
30,09. Iogannes Brahms - Symphony No.3 - Poco Allergetto.mp3,9
31,02. Orff - Carmina Burana - Fortuna imperatrix mundi - O Fortuna.mp3,9
32,"03. Rachmaninov - Concerto No.2 in C minor, op.18 Moderato.mp3",9
33,20. Prokofiev - Cinderella - Waltz.mp3,9
34,04. Glinka - Ruslan and Ludmila - Chernomor's March.mp3,9
35,01. R. Strauss - Also sprach Zarathustra - Fanfare.mp3,9
36,"16. Strauss - Tritsch, tratsch-polka.mp3",9
37,13. Tchaikovsky - The Nutcracker - Dance of the Sugar - Plum Fairy.mp3,9
38,01. Beethoven - Moonlight  Sonata.mp3,9
39,02. Tchaikovsky - The Nutcracker - Dance of the reed pipes.mp3,9
40,05. Shchedrin - Carmen Suite - Torero.mp3,9
41,11. Tchaikovsky - The Nutcracker - Ouverture miniature.mp3,9
42,14. Ravel - Bolero.mp3,9
43,05. Liszt - Liebestraum No.3 in A flat.mp3,9
