song,genre
0,"06 - Revolution, Revulotions.mp3",5
1,06 - Partners In Crime I.mp3,5
2,08 - Music For Supermarkets Part VI.mp3,5
3,08 - Chatterbox.mp3,5
4,04 - Fourth Rendez-Vous.mp3,5
5,01 - Intro To Side A.mp3,5
6,07 - Intro To Side B.mp3,5
7,02 - Diva.mp3,5
8,"05 - Ok, Do It Fast.mp3",5
9,09 - In The Mood For You.mp3,5
10,03 - Beautiful Agony.mp3,5
11,02 - Le Pays de Rose.mp3,5
12,11 - La Perquisition et les Paysans.mp3,5
13,01 - Industrial Revolution - Overture.mp3,5
14,15 - La Verite.mp3,5
15,05 - Zoolookologie.mp3,5
16,01 - First Rendez-Vous.mp3,5
17,06 - Le Juge.mp3,5
18,02 - Music For Supermarkets Part I.mp3,5
19,01 - Fresh News.mp3,5
20,13 - Les Granges Brulees.mp3,5
21,09 - Music For Supermarkets Part VII.mp3,5
22,10 - Hesitation.mp3,5
23,16 - Generique.mp3,5
24,02 - Second Rendez-Vous.mp3,5
25,11 - Vintage.mp3,5
26,13 - Teo & Tea  4-00 Am.mp3,5
27,02 - Industrial Revolution - Part I.mp3,5
28,05 - Music For Supermarkets Part IV.mp3,5
29,03 - Music For Supermarkets Part II.mp3,5
30,08 - Computer Weekend.mp3,5
31,09 - Rose.mp3,5
32,08 - Theme de L'Argent.mp3,5
33,04 - Music For Supermarkets Part III.mp3,5
34,03 - Industrial Revolution - Part II.mp3,5
35,01 - La Chanson des Granges Brulees.mp3,5
36,02 - Teo & Tea.mp3,5
37,01 - Ethnicolor.mp3,5
38,14 - Descente au Village.mp3,5
39,06 - Music For Supermarkets Part V.mp3,5
40,12 - Melancholic Rodeo.mp3,5
41,05 - London Kid.mp3,5
42,10 - Music For Supermarkets Part VIII.mp3,5
43,10 - Gossip.mp3,5
44,07 - Tokyo Kid.mp3,5
45,05 - Fifth Rendez-Vous.mp3,5
46,04 - Wooloomooloo.mp3,5
47,07 - Le Car - Le Chasse Neige.mp3,5
48,04 - Industrial Revolution - Part III.mp3,5
49,07 - Partners In Crime II.mp3,5
50,12 - Reconstitution.mp3,5
51,05 - Zig-Zag.mp3,5
52,06 - Blah-Blah Cafe.mp3,5
53,03 - Zoolook.mp3,5
54,06 - Last Rendez-Vous (Ron's Piece).mp3,5
55,09 - September.mp3,5
56,07 - Ethnicolor II.mp3,5
57,04 - Touch To Remember.mp3,5
58,03 - Third Rendez-Vous.mp3,5
59,10 - The Emigrant.mp3,5
60,04 - Une Morte dans la Neige.mp3,5
61,03 - L'Helicoptere.mp3,5
