song,genre
0,13 Heaven Ait't Hard 2 Find.mp3,4
1,01 - Nas - The Genesis - Illmatic.mp3,4
2,11_-_nas_-_suspect_-_osm.mp3,4
3,08 Check Out Time.mp3,4
4,19-My Dads gone crazy.mp3,4
5,10-2pac-it_aint_easy-rec.mp3,4
6,08 Heartz of Men.mp3,4
7,14-2pac-death_around_the_corner-rec.mp3,4
8,14 What'z Ya Phone No.mp3,4
9,09_-_nas_-_the_set_up_(feat_havoc)_-_osm.mp3,4
10,13 I Ain't Mad at Cha.mp3,4
11,20-Curtains close.mp3,4
12,Eminem - I'm Back.mp3,4
13,05_-_nas_-_watch_dem_niggas_(feat_foxy_brown)_-_osm.mp3,4
14,05 When We Ride.mp3,4
15,03 Holla at Me.mp3,4
16,Paul  Bunyan  Rosenburg - Paul (Skit).mp3,4
17,18-Till i collapse.mp3,4
18,11 Tradin War Stories.mp3,4
19,10_-_nas_-_black_girl_lost_(feat_jojo_hailey)_-_osm.mp3,4
20,14-Hailies song.mp3,4
21,03 - Nas - Life's a Bitch - Illmatic.mp3,4
22,09 - Nas - Represent - Illmatic.mp3,4
23,05-Square Dance.mp3,4
24,Eminem & Steve Berman - Steve Berman (Skit).mp3,4
25,Eminem - The Way I Am.mp3,4
26,Eminem - Drug Ballad.mp3,4
27,13-2pac-fuck_the_world-rec.mp3,4
28,08 - Nas - One Time 4 Your Mind - Illmatic.mp3,4
29,07 - Nas - One Love - Illmatic.mp3,4
30,06 2 of Amerikaz Most Wanted.mp3,4
31,07-2pac-heavy_in_the_game-rec.mp3,4
32,Eminem - Remember Me .mp3,4
33,04-Cleanin out my closet.mp3,4
34,13_-_nas_-_live_nigga_rap_(feat_mobb_deep)_-_osm.mp3,4
35,12-2pac-old_school-rec.mp3,4
36,09-2pac-dear_mama-rec.mp3,4
37,07 Picture Me Rollin'.mp3,4
38,12-Sing for the moment.mp3,4
39,16-When the music stops.mp3,4
40,02_-_nas_-_the_message_-_osm.mp3,4
41,02 Shorty Wanna Be a Thug.mp3,4
42,01 Ambitionz Az a Ridah.mp3,4
43,05 - Nas - Halftime - Illmatic.mp3,4
44,06_-_nas_-_take_it_in_blood_-_osm.mp3,4
45,05-2pac-temptations-rec.mp3,4
46,Eminem - Criminal.mp3,4
47,Eminem - Stan.mp3,4
48,04_-_nas_-_i_gave_you_power_-_osm.mp3,4
49,03 Skandalouz.mp3,4
50,15-2pac-outlaw-rec.mp3,4
51,17-Say what u say.mp3,4
52,Eminem - Ken Kaniff (Skit).mp3,4
53,Eminem - Kill You.mp3,4
54,15-Steve Berman.mp3,4
55,04 Wonda Why They Call U B____.mp3,4
56,11-2pac-can_u_get_away-rec.mp3,4
57,01 Can't C Me.mp3,4
58,05 How Do You Want It.mp3,4
59,Eminem - Amityville.mp3,4
60,10 Only God Can Judge Me.mp3,4
61,07 No More Pain.mp3,4
62,02-White America.mp3,4
63,12 Ain't Hard 2 Find.mp3,4
64,06-The kiss.mp3,4
65,04 Got My Mind Made Up.mp3,4
66,08-2pac-lord_knows-rec.mp3,4
67,10 - Nas - It Ain't Hard to Tell - Illmatic.mp3,4
68,09 Life Goes On.mp3,4
69,07_-_nas_-_nas_is_coming_(feat_dr_dre)_-_osm.mp3,4
70,01-Curtains up.mp3,4
71,02 - Nas - N.Y. State of Mind - Illmatic.mp3,4
72,Eminem - Bitch Please II.mp3,4
73,03-2pac-me_against_the_world-rec.mp3,4
74,Eminem - Public Service Announcement 2000.mp3,4
75,02 All About U.mp3,4
76,03-Business.mp3,4
77,14_-_nas_-_if_i_ruled_the_world_(imagine_that)_(feat_lauryn_hill)_-_osm.mp3,4
78,Eminem - Kim.mp3,4
79,07-Soldier.mp3,4
80,10 All Eyez on Me.mp3,4
81,11 Run tha Streetz.mp3,4
82,06 - Nas - Memory Lane (Sittin' in da Park) - Illmatic.mp3,4
83,08-Say goodbye Hollywood.mp3,4
84,Eminem - Under The Influence.mp3,4
85,02-2pac-if_i_die_2nite-rec.mp3,4
86,Eminem - Who Knew.mp3,4
87,08_-_nas_-_affirmative_action_(feat_the_firm)_-_osm.mp3,4
88,13-Superman.mp3,4
89,04 - Nas - The World Is Yours - Illmatic.mp3,4
90,09 Ratha Be Ya N____.mp3,4
91,09-Drips.mp3,4
92,11-Paul Rosenberg.mp3,4
93,03_-_nas_-_street_dreams_-_osm.mp3,4
94,Eminem - Marshall Mathers.mp3,4
95,06-2pac-young_niggaz-rec.mp3,4
96,10-Without me.mp3,4
97,04-2pac-so_many_tears-rec.mp3,4
98,06 Thug Passoin.mp3,4
99,12_-_nas_-_shootouts_-_osm.mp3,4
100,Eminem - The Real Slim Shady.mp3,4
