song,genre
0,01 - Take The 'A' Train.mp3,3
1,04 All Blues.mp3,3
2,03 Black Comedy.mp3,3
3,04 Milestones.mp3,3
4,"06 Straight, No Chaser.mp3",3
5,05 Flamenco Sketches.mp3,3
6,12. Weirdo.mp3,3
7,05 Black Comedy [-][Alternate Take].mp3,3
8,06 Country Son [-][Alternate Take].mp3,3
9,06 Prends Garde à Ta Langue.mp3,3
10,05 Billy Boy.mp3,3
11,11 - My Little Brown Book.mp3,3
12,09 J'aime à Nouveau.mp3,3
13,10 Dans Ma Rue.mp3,3
14,"06 Flamenco Sketches (Alternate Take, Bonus Track Not On Original Lp).mp3",3
15,02 Paraphernalia.mp3,3
16,08 Full Nelson.mp3,3
17,08 - Raincheck.mp3,3
18,11 Éblouie par la nuit.mp3,3
19,04 - Satin Doll.mp3,3
20,01 Dr. Jackle.mp3,3
21,01 Les Passants.mp3,3
22,13. Somethin' Else.mp3,3
23,07 Ni Oui Ni Non.mp3,3
24,05 Backyard Ritual.mp3,3
25,03 Blue In Green.mp3,3
26,13 - Tuning Notes.mp3,3
27,05. Donna.mp3,3
28,14. Autumn Leaves.mp3,3
29,01 Tutu.mp3,3
30,03 Portia.mp3,3
31,08 Port Coton.mp3,3
32,08. Enigma.mp3,3
33,12 - Blood Count.mp3,3
34,03. Budo.mp3,3
35,03 Two Bass Hit.mp3,3
36,01. Move.mp3,3
37,06 - Isfahan.mp3,3
38,04 La Fee.mp3,3
39,05 - Lush Life.mp3,3
40,02 Tomaas.mp3,3
41,07 Don't Lose Your Mind.mp3,3
42,02. Godchild.mp3,3
43,07. Tempus Fugit.mp3,3
44,01 Stuff.mp3,3
45,11. It Never Entered My Mind.mp3,3
46,09 - Johnny Come Lately.mp3,3
47,04. Dear Old Stockholm.mp3,3
48,10 - A Flower Is A Lovesome Thing.mp3,3
49,02 Sid's Ahead.mp3,3
50,03 Le Long de la Route.mp3,3
51,06. Yesterdays.mp3,3
52,01 So What.mp3,3
53,10. Well You Needn't.mp3,3
54,04 Splatch.mp3,3
55,05 Trop Sensible.mp3,3
56,02 - UMMG.mp3,3
57,02 Freddie Freeloader.mp3,3
58,04 Country Son.mp3,3
59,06 Perfect Way.mp3,3
60,09. C.T.A..mp3,3
61,02 Je Veux.mp3,3
62,07 - Drawing Room Blues.mp3,3
63,03 - Chelsea Bridge.mp3,3
