song,genre
0,02 - Lazing on a sunday afternoon.mp3,1
1,03 - One Year Of Love.mp3,1
2,08 - Stone Cold Crazy.mp3,1
3,07 - In The Lap Of The Gods...Revisited.mp3,1
4,04 - Man On The Prowl.mp3,1
5,05 - Machines (or 'Back To Humans').mp3,1
6,01 Love Me Do.mp3,1
7,10 - Misfire.mp3,1
8,11 - My Melancholy Blues.mp3,1
9,03 - It's A Hard Life.mp3,1
10,09 - Princes Of The Universe.mp3,1
11,12 - Don't stop me now.mp3,1
12,15 Yellow Submarine.mp3,1
13,10 - Fun it.mp3,1
14,02 - Killer Queen.mp3,1
15,08 - Sleeping On The Sidewalk.mp3,1
16,07 I Feel Fine.mp3,1
17,01 - Death on two legs (Dedicated to...).mp3,1
18,05 - Friends Will Be Friends.mp3,1
19,05 - Lily Of The Valley.mp3,1
20,05 - '39.mp3,1
21,08 - In only seven days.mp3,1
22,03 - I'm in love with my car.mp3,1
23,03 - Jealousy.mp3,1
24,05 - Spread Your Wings.mp3,1
25,11 - Bohemian Rhapsody.mp3,1
26,12 - She Makes Me.mp3,1
27,01 - Radio Ga Ga.mp3,1
28,04 - Pain Is So Close To Pleasure.mp3,1
29,03 - Sheer Heart Attack.mp3,1
30,09 - Love of my life.mp3,1
31,"04 - All Dead, All Dead.mp3",1
32,09 - Dear Friends.mp3,1
33,06 - Now I'm Here.mp3,1
34,02 - A Kind Of Magic.mp3,1
35,06 - Rock It (Prime Jive).mp3,1
36,03 - Tenement Funster.mp3,1
37,09 - Coming Soon.mp3,1
38,01 - Mustapha.mp3,1
39,04 - You're my best friend.mp3,1
40,02 - We Are The Champions.mp3,1
41,08 - Hammer To Fall.mp3,1
42,07 - Don't Try Suicide.mp3,1
43,10 - Save Me.mp3,1
44,02 - Dragon Attack.mp3,1
45,13 - In The Lap Of The Gods.mp3,1
46,04 - Flick Of The Wrist.mp3,1
47,09 - Dreamer's ball.mp3,1
48,02 - Tear It Up.mp3,1
49,09 - Who Needs You.mp3,1
50,12 Day Tripper.mp3,1
51,06 - Who Wants To Live Forever.mp3,1
52,01 - We Will Rock You.mp3,1
53,10 - Good company.mp3,1
54,21 Hey Jude.mp3,1
55,09 - Is This The World We Created... .mp3,1
56,12 - Forever.mp3,1
57,12 - God save The Queen.mp3,1
58,11 - Friends Will Be Friends Will Be Friends....mp3,1
59,06 - Sweet lady.mp3,1
60,08 - The prophet's song.mp3,1
61,"07 - Get Down, Make Love.mp3",1
62,05 - If you can't beat them.mp3,1
63,05 - Crazy Little Thing Called Love.mp3,1
64,01 - One Vision.mp3,1
65,03 - Another One Bites The Dust.mp3,1
66,11 - Bring Back That Leroy Brown.mp3,1
67,24 Something.mp3,1
68,13 - More of that jazz.mp3,1
69,06 - I Want To Break Free.mp3,1
70,10 - It's Late.mp3,1
71,08 - Don't Lose Your Head.mp3,1
72,06 - Let me entertain you.mp3,1
73,08 - Sail Away Sweet Sister.mp3,1
74,01 - Brighton Rock.mp3,1
75,04 - Need Your Loving Tonight.mp3,1
76,07 - Dead on time.mp3,1
77,04 - Bicycle race.mp3,1
78,07 - Gimme The Prize.mp3,1
79,07 - Keep Passing The Open Windows.mp3,1
80,02 - Fat bottomed girls.mp3,1
81,11 - Leaving home ain't easy.mp3,1
82,01 - Play The Game.mp3,1
83,10 - A Kind Of  'A Kind Of Magic'.mp3,1
84,06 - Fight From The Inside.mp3,1
85,07 - Seaside rendezvous.mp3,1
86,The Mountain (Three Days Grace).mp3,1
